ID,Title,Content
41,emacs - Best Common Lisp IDE ,I've used Slime within Emacs as my primary development environment for Common Lisp (or Aquamacs on OS X) but are there other compelling choices out there? I've heard about Lispworks but is that [or something else] worth looking at? Or does anyone have tips to getting the most out of Emacs (e.g. hooking it up to the hyperspec for easy reference)? Update: Section 7 of Pascal Costanza's . More resources:There are some flashier options out there but I don't think anything's better than  I use Vim the Ion3 window manager and terminal windows and enjoy it very much.
42,Difference between framework vs Library vs IDE vs API vs SDK vs Toolkits? ,I want some examples. I always get confused so with some examples I might be able to figure it out better. Also: Is Eclipse an API or IDE?An : While not the prevalent notion a framework can be viewed as a kit. It also has a library (or a collection of libraries that work together) that provides a specific coding structure &amp; pattern (thus the word >). (e.g. Spring Framework) Consider Android Development: IDE: Eclipse etc.. Library: android.app.Activity library (Class with all code) API: Interface basically all functions with witch we call  SDK: The Android SDK provides you the API libraries and developer tools necessary to build test and debug apps for Android(----tools - DDMSEmulator ----platforms - Android OS versions ----platform tools - ADB ----API docs) ToolKit: Could be ADT Bundle Framework: Big library but more of architecture oriented SDK represents to software development kit and IDE represents to integrated development environment.  The IDE is the software or the program is used to write compile run and debug such as Xcode.  The SDK is the underlying engine of the IDE includes all the platform's libraries an app needs to access. It's more basic than an IDE because it doesn't usually have graphical tools. In other words... Even your notepad is an IDE. Every software you write/compile code with is an IDE.   A bunch of code which simplifies functions/methods for quick use. A programming interface for functions/configuration which you work with its usage is often documented. Extras and/or for development/testing purposes.  Tiny apps for quick use often GUIs.  Apps with a graphical interface requires no knowledge of programming unlike APIs. Bunch of APIs/huge Library/Snippets wrapped in a namespace/or encapsulated from outer scope for compact handling without conflicts with other code. A design pattern separated in Models Views and Controllers for huge applications. They are not dependent on each other and can be changed/improved/replaced without to take care of other code. The object that is being  presented.  Example in IT: A HTML form.  Example in IT: Browser that renders a website with the form.  Example in IT: Functions which handle form data that's being submitted.Small codes of only a few lines may not be even complete but worth for a quick share. Exclusive functions for specified frameworks/APIs/libraries only. Additional modules or services for specific GUIs.
43,Query IDE for MongoDB? ,"I'm wondering if there is an IDE for MongoDB that allows you to run queries and see the results? This would behave like query analyzer in SQL Server Management Studio. The issue I'm having right now is that I have to do queries such as ""db.MyTable.find()"" from command prompt which isn't a good solution.  If the answer is no is there a more mature ""no sql"" solution like MongoDB that does have an IDE? By far the best UI (for Windows) currently out there  is MongoVUE. Robo 3T (formerly Robomongo) give you a shell like interface but outputs your results in the gui.Its available for windows mac(dmg zip) and linux (deb rpm tar.gz) as a desktop application. Currently there is a free community version (no ads all features) and payed ones with more support and influence on backlog. Robo 3T (formerly Robomongo) prints the results in a treeView or Json text representation and supports the generation of UUID (.NET-Python-Java-Encoding). It has autocomplete shows multiple results at once and has a query history. "
44,IDE for OCaml language ,Is there any trusted OCaml IDE other than Camelia ? I would prefer an eclipse based IDE if existed. Editors • Emacs ◦ ocaml-mode from the standard distribution ◦ alternative tuareg-mode /ﬁles/tuareg-mode.pdf ◦ camldebug intergration with debugger ◦ type feedback with C-c C-t key shortcut needs .annot ﬁles • Vim ◦ OMLet plugin      ◦ currently mostly as typerex-mode for Emacs but integration withother editors will become better ◦ Auto-completion of identiﬁers (experimental) ◦ Browsing of identiﬁers: show type and comment go to deﬁnition ◦ local and whole-program refactoring: renaming identiﬁers and compilation units open elimination • Some dedicated editors ◦ OCamlEditor  similar to TypeRex but works better with work-in-progress files has front-ends to Vim and Emacs currently.  
45,Best Fortran IDE ,"Is there anybody using Fortran on stackoverflow? What IDE do you use and which one do you think to be the best? Seems lots of people surround me are quite inconvenient with Intel Visual Fortran. Because there is no support for intellisense refactoring etc.Well as others already mentioned you could use instead of an IDE a separate text editor. Several come to mind;   VIM (or one of the family) - great editing capabilities very customizable. Unfortunatelly it is still an editor not an IDE. It can be customized in a variety of ways of course but that gets boring after a while.  Also it's syntax highlighting capabilities are somewhat wrongly made. Also has some problems/confusions with free/fixed format and f77/f90/f95 ...   Emacs - pretty much same advantages/shortcomings as the above.   In general editors like the above mentioned can be used but in that case it is best to choose one from the start and stick to it; modifying your work habits as you go; since customizing everything can be time consuming to suit your needs. Most editors have problems with fortran's syntax since they're used to C's (where everything that ""opens"" has a ""close""). As far as IDE's goes your options are not that great:   > What about these ones: . I do not like Code::Blocks... We use an in-house extension to visual studio to get code completion for our fortran code and to assist us with debugging. But even so there is a lot of room for improvement. Our main issues are:  We used Sun workshop and it was very good but there is no windows version. jedit has a nice fortran mode and you can define keybindings for the compiler and debugger.for small to medium sized projects it is quite nice. it also has svn and multiple files search. also very nice is hypersearch where you get a list of you matches and you can go to the position with a single click. another goodie is a plugin for gdb and for ctags. you can very easily script all functions using jython. it feels a little bit like a modern version of emacs that uses python instead of lisp. check out the plugin manager. it lets you download all the plugins from the server and installs them for you (like in eclipse). "
46,javascript - Is there an IDE with explicit support for AngularJS? ,"I've tried WebStorm but there only seems to be a basic JavaScript support there like in any other web IDE I have tried. I'm looking for something that would allow me to click-through from HTML pages to Controllers etc. If the answer is ""no"" to this question is there any other JavaScript framework similar to Angular that would have something like an Eclipse plugin or any other kind of explicit support in some IDE?John Lindquist says he'll make a plugin for WebStorm: Also for Microsoft VisualStudio AngularUI have written plugins that offer full AngularJS (and optionally AngularUI) IDE support for Sublime Text 2 &amp; 3 and TextMate text editors. Sublime Text 2 &amp; 3 TextMate (Mac OS X only) AngularUI IDE PluginsSublime - TextMate -  You can get a complete setup guide for Sublime Text here (you'll be up and running in 5 mins tops):"
47,What's a good IDE for Erlang programming? ,"As far as I know there's Erlang plugin for NetBeans and Eclipse. Which one has the upper hand at the moment?  Are there any other IDE for Erlang which I didnt mention and how good are they when compare with NetBeans and Eclipse? The best IDE for Erlang is Emacs. However the mode which ships with Erlang isn't the best. ). Pros:Syntax highlight autocompletion and suggestion all work well.During suggest it will display some documentationif available: very useful when exploring a module. Error and warning annotiations are quick and helpful. All things considered the user experience is good especially if you are used to eclipse. Cons:Erlide can also run your modules but I find the shell is too clunky to be usable. I always keep a ""real"" erlang shell open and compile/test my code from there. There is also a Textmate bundle (google) but I have not tried that yet. Erlang mode in Emacs is the generally recommended IDE.  and Vimthey are good enough for developing.Geany can also compile and run the code. . I'm using sublime text on windows mac and linux Emacs or VIM is not a good choice if you didn't have experience on them.There a too many bugs in Eclipse...And IntelliJ IDEA is the best IDE"
48,Inefficient jQuery usage warnings in PHPStorm IDE ,I recently upgraded my version of PHPStorm IDE and it now warns me about inefficient jQuery usage. For example: Prompts this warning: Checks that jQuery selectors are used in an efficient way. It suggests  to split descendant selectors which are prefaced with ID selector and  warns about duplicated selectors which could be cached. So my question is: Why is this inefficient and what is the efficient way to do the above selector? I'd guess at: Is this the right way?I had the same question today and was able to find a solution thanks to  There was some discussion about this on jQuery forums but its 3 years old:As they point out here if you are doing a lot of operations on same id selector the greatest performance improvement is found by caching the top level element.On the other hand if you are doing just a few selections there is going to be virtually no performance difference. Therefor I believe that IntelliJ is overstating the importance of this code style.  The first question is to hit Alt+Enter and select the first tip in the list then hit Enter you'll see what it thinks the most efficient way.
49,Which IDE for Scala 2.8? ," is the same question for older version of Scala but they say that Eclipse plugin has been improved vastly. Is it the best IDE now? How do different Scala IDE compare today? I've been pretty successful with IDEA 9. I've briefly tried both Netbeans and Eclipse and wasn't able to get what I wanted. Eclipse's code-complete didn't behave as well as I'd have liked and I couldn't find a way to make Netbeans handle Scala scripts; It'd just complain that the file wasn't a class. To be clear I've been using IDEA for a few years for Java so keep that in mind:) For the moment Scala Plugin in IntelliJ IDEA is the best. It handles Scala 2.8 well. IntelliJ IDEA Community Edition is now free and open source (and works with Scala) so I can't see any reason for not using it. The plugin is still somewhat buggy (many ""false negatives"" i.e. the code without red underscores may not compile successfully; but almost no ""false positives"") but perfectly usable. The best thing is that you can use IDEA's excellent debugger with Scala (not without some issues but it actually works!). FSC (Fast Scala Compiler) is also supported in latest builds. A huge time-saver. The plugin development team is quite responsive. Some of the guys work directly in JetBrains and possess intimate knowledge about IDEA platform so the development progresses fast. JetBrains IDEA's Scala plug-in handles 2.7 and 2.8 equally well. I cannot make any comparisons because I have used only IDEA. Using Eclipse Helios with the dev-version of the new Scala(2.8) plugin as there isn't an official release yet. That > beta definitively -- but I can't confirm the frequently expressed opinion that this plugin is outright horrible ;-) I'd say the experience is already OK-ish and indeed better than the current state of affairs with the Groovy plugin. OTOH the experience with plain Java is way more smooth (feels like flying at times) and the current CDT I'd rate somewhat in between. Incremental compile and error highlighting work quite well for me; tweaking a DSL implementation into form just by continuously rewriting your code until the error markers are gone -- without ever having to test-run your program -- is outright fun and just again shows that FP / static typing rocks! Problems encountered from time to time:- implicits and nested types in other compilation units (esp. nested / super packages) aren't picked up at times when there are still other errors around; they will be picked up after an full build- there seems to be a memory leak in the version I'm using right now (from end august 2010) necessitating to restart the workbench after some hours of work- beware when you're using AspectJ to make sure you get a version of the Scala plugin which relies on a JDT weaving bundle version which also works with AJDT PS: I'm using maven builds in all my projects and generated the eclipse projects with the eclipse-maven-plugin and then imported them as plain-flat eclipse projects. I can just strongly recommend everyone to keep away from the M2-eclipse plugin (for maven) in its current (2010) state it makes your workbench painfully slow is buggy and has lots of almost unpredictable behaviour because it constantly tries to do magic things behind the scenes (and besides that the aspectj support is broken since this spring) i use both eclipse and IDEA eclipse supports type detection isbetter than IDEA (it is veryneccessery thing if you want programin functional style that you can beaware from type of expressions andvariables.) : IDEA supports type detection like eclipse but you haveto define a value in your functionsfor example: deftestTs[A](a:List[String]b:List[A])= for{      ai &lt;- a      bi &lt;- b    }  yield (aibi)   }deftestTs[A](a:List[String]b:List[A]):List[(StringA)]={    val result = for{      ai &lt;- a      bi &lt;- b    }  yield (aibi)   }I think that the best option so far is the ScalaIDE for Eclipse. You can go to the ScalaIDE Web Site and look around to see by yourself.  to get an idea. For everyone who is really considering doing some serious development with Scala I strongly recommend to evaluate the IDEs in question beyond the basics. When you are into an agile approach which in my option requires a painless refactoring support without surprises (especially in multi-module projects) things are pretty tight at the moment. It would be pretty neat if someone came up with a IDE independent specification-like list of refactorings (and desired outcomes) which could be used to verify an IDE's refactoring support. The officially endorsed and supported (by Typesafe) for Scala 2.9 is Eclipse. The current version is far superior to prior versions and includes a context-aware REPL full-featured debugger and even the ability to debug REPL statements.  I think this question needs to be updated and the answers revisited. I don't recommend the Scala IDE/Eclipse.  It doesn't have a lot of the features that are even available for Eclipse with Java.  And there are bugs. I am using the latest NetBeans and haven't tried anything else. I've met at least 2 notable bugs in NetBeans while coding in Scala: One: NB occasionally come unable to run a program hanging on classpath scanning.Solution: Create a new project copy your code there and go on.Comment:  of particular namespaces or classes and complains when you use them.Solution: Just ignore and go on - compiler founds no errors and the program works. I'd recommend IDEA's plugin for now. The Scala plugin for NetBeans is quite nice too. It doesn't yet support NetBeans 6.9 the newest release though and you still need to download it manually instead of installing it directly from the plugin manager inside NetBeans.  However it integrates better with Maven projects than IDEA's plugin does (this is true for NB and IDEA in general in my opinion). It partly depends on your style of working as all the options have strengths and weaknesses. If you need refactoring across mixed java/scala projects then IntelliJ is your only option. If you want to do any work on the compiler or a compiler plugin then Eclipse has the advantage of being able to launch a runtime workspace with a custom compiler build including breakpoints.  It also improved massively for the 2.8 Scala release. Netbeans is a fine choice to go with if you're already very familiar with that platform the costs of learning a new environment may well outweigh any benefits and all three solutions are improving rapidly. I haven't tried netbeans scala plugin yet but I find that Intellij IDEA plugin is at any way much better a scala ide than the Scala eclipse plugin which is sooooo slow that drives me crazy.Though swing applications don't work well with my tiling window manager. try IDEAX the latest community edition of Intellij IDEA (version 10) it has improved scala plugin which has faster code compilation and exceution in addition to that it has Maven3 and SBT support with which we can develop Lift applications. IntelliJ IDEA community edition + Scala Plugin + SBT plugin"
50,What IDE is the Delphi IDE developed in? ,Out of curiosity does anyone know which IDE the developers of the Delphi IDE are using?In Delphi (probably the previous version). The compiler itself is written in C but the IDE is written in Delphi. Through the  you can actually access the various objects like TActions that exist in the IDE.
51,testing - Online IDE for Python ,Is there any web-based IDE that I can use to run quick tests? There're a dozen for PHP and some for even Java but I haven't found yet that runs Python. If there's an  that'd be better. ThanksYou might want to give a try at: These aren't full IDEs but there are a lot of options for online python interpreters: I'm trying out  is good too. I'm pretty sure that IDE's are the last kind of programs that will ever go web based because a good IDE needs to be so extremely interactive if it wants to be good. I really don't see a reason for this and others seem to agree because there isn't any.And no an interactive web shell or compiler has nothing to do with an IDE.  
52,Choosing an IDE/Editor for Clojure coding ,"I'm looking for an editor or an IDE for my Clojure coding and I found this thread: However I have a couple of questions:Which IDE offers the best Clojure environment (right now): IntelliJ Eclipse or NetBeans?What are the advantages of Aquamacs (I read Rick is using it) over the previous heavy-weight IDEs?I have spent significant chunks of time (on a Mac) with: My opinions on those: > - The Eclipse editor is coming along and the structural editing has some of the niceties of paredit (but not the truly essential slurp barf splice capability).  The Eclipse repl is just a stock command-line repl and is pretty bad in comparison to NetBeans.  However the NetBeans remote repl has been broken out into an independent project and is coming very soon to Eclipse which will make Eclipse even more attractive.  Maven integration is very good.  I use Eclipse now when I want to see lots of files and projects at once which I have a hard time doing in Emacs. At the moment my bet is that the Eclipse tooling will start to pull away from the others.  But I'm still hoping for a Clojure-specific IDE to show up. :)      The world has changed a lot since I first wrote this. There are now at least 6 very good Clojure environments. If you have not allegiance to a pre-existing editor and want an easy place to start there are two great choices: 1)  There you can see most of the keyboard shortcuts. Sublime Text with Paredit and SublimeREPL is a quite a good option. Sublime Text is a powerful and light weight editor. It enjoys a big umbrella of plugins. Agree with Alex. I have tried NetBeansEmacs Textmate and Eclipse on OSX. For now Eclipse is a better choice. BTW it also depends on your background. If you are a Java programmer Eclipse is a very good choice. Sometimes I use the REPL - for example to try out Clojure 1.3 Alpha3.We do need a Clojure-specific IDE; something like Komodo. There is a new Clojure plugin for Intellij called .   Unfortunately it looks like . Make sure you can get emacs.app for mac.  According to the writer:""The reason I recommend Emacs is that it offers tight integration with a Clojure REPL which allows you to instantly try out your code as you write. That kind of tight feedback loop will be useful while learning Clojure and later when writing real Clojure programs. Emacs is also great for working with any Lisp dialect; in fact Emacs is written in a Lisp dialect called Emacs Lisp (elisp).""."
53,Scheme IDE for Windows ,What is a good Scheme IDE for Windows? OK I'll admit it; I'm not at RMS's level and don't want to use Emacs or any character-based interface -- I want a graphic IDE with colorization a REPL and usable in-line help for a specific well-documented dialect of Scheme. I have searched around and PLT Scheme/DrScheme seems the best but even that does not look too sophisticated. is an excellenet product well worth taking a look at. It's got all the features you're asking for I think what you want actually is Emacs. Let's see: I've been playing with Xacc.Ide and Iron Scheme and found they were pretty good although they felt not finished in some places. They're good enough for trying out scheme I'm not sure if I'd use them for writing commercial software though. I've seen the author of both of them hang around here so maybe he can tell more.. As far as I know (I used DrScheme for a few months before switching to Emacs) DrScheme has many IDE-like features but they are presented in a simplified interface because of its educational focus. Do some digging and I think you'll be happy what you find. Also I can't resist since I > use Emacs---an OS specific install of emacs is hardly ever character based. I just found out the scheme plugin for eclipse I haven't try it yet.It looks pretty nice.and its git repository I personally use ChezScheme. I run scheme scripts from the console and edit them in eclipse using the SchemeWay plugin. Eclipse is superior to Emacs in my opinion and it has some nice features like automatic indentation and autocomplete for defined names.
54,php - PHPDoc type hinting for array of objects? ,"So in PHPDoc one can specify  doesn't seem to be valid for example. The best you can do is say I do that a lot in Zend Studio. Don't know about other editors but it ought to work. In the PhpStorm IDE from JetBrains you can use  is not necessary. . I prefer to read and write clean code - as outlined in ""Clean Code"" by Robert C. Martin.When following his credo you should not require the developer (as user of your API) to know the (internal) structure of your array.  The API user may ask: Is that an array with one dimension only? Are the objects spread around on all levels of a multi dimensional array? How many nested loops (foreach etc.) do i need to access all objects? What type of objects are ""stored"" in that array? As you outlined you want to use that array (which contains objects) as a one dimensional array.  As outlined by Nishi you can use: for that.  But again: be aware - this is not a standard docblock notation. This notation was introduced by some IDE producers.  Okay okay as a developer you know that ""[]"" is tied to an array in PHP. But what do a ""something[]"" mean in normal PHP context? ""[]"" means: create new element within ""something"". The new element could be everything. But what you want to express is: array of objects with the same type and it´s exact type. As you can see the IDE producer introduces a new context. A new context you had to learn. A new context other PHP developers had to learn (to understand your docblocks). Bad style (!). Because your array do have one dimension you maybe want to call that ""array of objects"" a ""list"". Be aware that ""list"" has a very special meaning in other programming languages. It would be mutch better to call it ""collection"" for example. Remember: you use a programming language that enables you all options of OOP.Use a class instead of an array and make your class traversable like an array. E.g.: Or if you want to store the internal objects on different levels within an multi dimensional array/object structure: This solution replaces your array by an object of type ""orderCollection"" but do not enable code completion within your IDE so far. Okay. Next step: Implement the methods that are introduced by the interface with docblocks - particular:  Do not forget to use type hinting for: This solution stops introducing a lot of: all over your code files (e.g. within loops) as Zahymaka confirmed with her/his answer. Your API user is not forced to introduce that docblocks to have code completion. To have @return on only one place reduces the redundancy (@var) as mutch as possible. Sprinkle ""docBlocks with @var"" would make your code worst readable. Finaly you are done. Looks hard to achive? Looks like taking a sledgehammer to crack a nut? Not realy since you are familiar with that interfaces and with clean code. Remember: your source code is written once / read many. If code completion of your IDE do not work with this approach switch to a better one (e.g. IntelliJ IDEA PhpStorm Netbeans) or file a feature request on the issue tracker of your IDE producer. Thanks to Christian Weiss (from Germany) for being my trainer and for teaching me such a great stuff. PS: Meet me and him on XING.  Now usage of classes: Once again: I suspect not all IDE support it but PhpStorm does. Try yours post in comment the results! I know I'm late to the party but I've been working on this problem recently.  I hope someone sees this because the accepted answer although correct is > the best way you can do this.  Not in PHPStorm at least I haven't tested NetBeans though. The best way involves extending the ArrayIterator class rather than using native array types.  This allows you to type hint at a class-level rather than at an instance-level meaning you only have to PHPDoc once not throughout your code (which is not only messy and violates DRY but can also be problematic when it comes to refactoring - PHPStorm has a habit of missing PHPDoc when refactoring) See code below: The key here is the PHPDoc  to signify ""an array of Foo's"" but it's not supported by IDE's. I've found something which is working it can save lives !"
55,Does Google Chrome work with Selenium IDE (as Firefox does)? ,I can't find an equivalent of Selenium IDE that works with Chrome. Does anyone know the way to use Selenium IDE works with Chrome instead of Firefox? Or is there any alternative tool which can work with Chrome?artejera do you mean Selenium as plugin to your browser (Selenium IDE)?Here is . Katalon Studio is a free Selenium IDE alternative. Our team has used it before and it has some advantages over Selenium IDE: Whatever tool you choose there are some criteria you should pay attention to: you can use Google chrome extensions like imacros scirocco on chrome 21 or later versions. they are similar to selenium IDE for Firefox. Scirocco seems to be new with some limitations like navigation is not supported. So I recommend 'imacros' seems very close to selenium. If you want to harness Selenium IDE record &amp; playback capabilities for Chrome browser there is an equivalent extension for Chrome called Scirocco.You can add it to Chrome by visiting here using your Chrome browser 
56,clang-based cross-platform C++ IDE? ,The  C++ compiler claims to be built for among other things better IDE integration by providing an API for the IDE to use for tasks such as parsing the code. So are there are any good C++ IDE's that use clang to provide features such as semantic highlighting refactoring and finding and showing semantic errors in real-time? I've been using Eclipse CDT but its C++ parser is full of imperfections that cause the IDE to report a lot of annoying false positive errors in the code. I would like to have an IDE that reports an error if and only if the compiler would report the same error hence my interest in an IDE that's built on a compiler's internals. I'm primarily interested in cross-platform IDE's although I wouldn't mind knowing about single-platform ones for Windows or Linux (so  Xcode).Qt Creator is basing their next-gen code parsing and associated functionality on Clang:  Clearly advertises libclang backend as a main feature.
57,Professional VHDL IDE? ,Is there a good IDE to work with VHDL projects ?Or are most of the professionals working with emacs/vim/notepad++ ?I use Emacs+VHDL-mode which is great if you don't mind (or have already climbed) the learning curve of Emacs. Alternatively you could try  for simulation. But I am no professional so I suppose they are using some of the former two products. Engineers in large semiconductor companies are using emacs/vim for code editing. Integrated Development Environment doesn't make much sense there since a > is a few thousand HDL files taken from different places on a *NIX network setup scripts for a dozen different tools and cron jobs to do frequent builds. For simpler FPGA projects developed on Windows I've seen people using Borland CodeWright UltraEdit and Crimson Editor.     My best bet is to use VIM to do whatever i need to for VHDL formatting. VIM has an extremely powerful facility to develop custom plugins and no amount of IDE hopping will give you all the customization you would ever need.  Things like signal names &lt; 20 characters procedure lengths &lt; 100 lines no use of linkage ports -- all of these can be coded in VIM with minimal effort. You could actually run vcom or ncvhdl from within VIM and then see where the errors are.  Having said all this you might want to take a look at what Sigasi has to offer. If you need more help on this let me know -- it'd be fun coding a VIM plugin.  Emacs + VHDL mode + a compiler / simulator + source control. The VHDL mode is configured to use the compiler to compile the design and optionally run the simulation. Emacs can link with the source control to correctly check in diff and tag. I personally like this set up because the editor is open source and I can use it anywhere (Mac Linux Windows). The compiler / simulator can be anything from a free download (FPGA vendor sponsored Modelsim or GHDL) to a grid engine. Once set up it pretty much becomes invisible. Simplifide also has an eclipse plugin which supports VHDL Verilog and SystemVerilog which contains all of the standard IDE features and more.  It can be downloaded at . It's a plugin I'm working on that provides syntax checking based on simulators/compilers. I'm using daily with ModelSim and so far works nice. Emacs with the appropriate language mode is my vote. Basic editing is easy enough to learn and there are a lot of example config files out there.Kevin. I'm using Xilinx ISE for educational purposes it works really well. And it has everything. After applying for a student license the student version it free to use but it takes up a lot of space. The installation file alone is more than 6 gb. The book we use for school is referring to xilinx special properties. (“FGPA Prototyping by VHDL Examples”). I'm also programming on a nexsys 3 spartan 6 testboard and I'll be using xilinx for another year but when I finish the course I’m gonna look for something smaller. Happy to read about the lightweight alternatives.
58,Alternative IDE for VB6 and VBA ,I've been spoiled by Visual studio 2008 and Eclipse and have to do a little maintainence work on a VB6 app. Does anyone know of an alternative/ updated IDE for VB6? A rewrite is not an option I'm just fixing a couple of bugs and it's a big codebase.I have never heard of an alternative IDE for Vb6. However these two (free) VB6 add-ins are indispensable and will make your life easier - especially if there is a lot of code. They are equally effective for VBA in Microsoft Office.  which takes care of all the auto-indenting. It does one thing and it does it well.  But you could consider checking this out:It looks quite promising. Addin for Visual Basic 6.0 packing more than 50 professional tools and  assistants. The Code View Assistant  enriches the standard VB6 code editor  with branch lines for conditional  statements end-of-line details and  hotspots. Moreover the Code Analyzer  pinpoints dead and slow code the  SmartComplete and AutoText tools help  you write code with a proficiency you  never dreamed of while the Enhanced  Project Explorer with expanding code  and Code Flow View can make accessing  a code location the speedy action you  always needed. Other tools: Extended  Find Find References Designer  Explorer Code Formatter TabOrder  Designer (with auto-order) HotKey  Designer Error Handlers Inserter  Exception Protection Spelling  Checker Strings Reviewer Comments  Conformity Checker Task List Manager  Code Snippets Manager Naming  Standards Manager.Version 2007 adds  Designer Analyzer User Interface  Standard Properties Manager Library  Explorer including Designer Snippets  many enhancements in most subsystems. Because the VB6 IDE  a VB Project file and display the project details into project/workspace tree. It will also run the build an capture the output.  while programming in VB6. It's a code coloring add-in.A must have once you got used to VS2005+I don't know if VB6 is still supported in current version so you should take a look and see for yourself (and perhaps get an older version) DoyleSoft BASIC  alternative visual basic jabaco compiler too- CodeHelp Add-In 2.2 Amazing VB6 plugin to help organize and coding. 
59,java - MATLAB IDE setup : Eclipse IDE error : JVM ,I have installed eclipse 3.4 and it's working. I tried to setup IDE with 'eclipseidesetup'. when I give the eclipse path and press OK it says:  which is absolutely wrong because my eclipse is working and my JVM is 64-bit because of my system. what's making this happen? I've read this matlab help articles and none helped: OS: Linux mint - kernel 3.14.17 - 64bitMATLAB R2014aFirst of all you should  to make it run properly.
60,Using SBT from Scala IDE ,The path from SBT to Scala-IDE is well described in many places: What is the reverse for this? If I start a new project in Scala-IDE can I just add a build.sbt file and somehow tell Eclipse to use this when running the application? Apologies if this seems obvious to some but I've recently moved from ItelliJ Idea to Scala-IDE and I'm not certain about setting up Scala-IDE to use SBT and my sbt config files.No you cannot do this. The way to do it is as you described. Then whenever you make changes to build.sbt (e.g. new jar dependency) rerun the  command from sbt and refresh the project in Eclipse so that the newly generated files are reloaded. As a seasoned Eclipse user I wondered the same thing. Amazed that no one seemed to be going that direction I decided to roll my own project.  Install plugin create or modify build.sbt and dependencies are fetched project files updated. It works for me I use it every day. But it's not perfect or finished and I'm not putting in a lot of effort in it at the moment. But do feel free to contribute!
61,Python documentator IDE guiding ,Suppose I have such function: In my case the IDE has no way to know what goes in there.How I tell it by using comments? In case of PHP i've used something like this Another use case is when I know that in some case some proxy will return some objectIDE has no chance to know but I know for sure and want to specify this by comment to help myself in future and to help IDE. In PHP while using PhpStorm I would do following: How can I achieve same behavior with PyCharm specificaly and python documentators in common?Use a  see the following pseudo code: I am not sure if it will work in PyCharm (I don't use it) - but for Python 3  were added. You can put those into the definition of a function: Maybe PyCharm will use this to define which methods are available on someobject.  After a small test I guess this should work (which is pretty awesome).
62,Disconnect other IDE instances in Cloud9 IDE ,I was wondering if there's a way to disconnect other IDE instances in Cloud9 IDE because I left C9 IDE on at work and I have the code highlighted which makes it hard to work with when I get home.There's currently no way to remotely disconnect other collaborators (which you became once you opened your workspace on multiple tabs) but you could disable collaboration altogether by adding  to the IDE URL which should remove the code highlighting.
63,Best IDE / TextEditor for R , code?I've been using Eclipse/StatET.  However there's a new FLOSS IDE that was released today that looks interesting called .  It allows you to organize your (text-)files in a project style fashion.
64,Online .NET IDE? ,Does anyone know of a (free?) web-based IDE for .NET development online?There's  it allows C# VB Java.  Full disclosure I'm one of the founders.
65,ide - Is there a way to collapse all code blocks in Eclipse? ,"Eclipse has that ""+/-"" on the left to expand and collapse blocks of code. I've got tens of thousands of lines to go through and would really like to just collapse everything and selectively expand blocks to look at them.There is a hotkey mapped by default to  close all code blocks is "
66,autocomplete - laravel 5 ide autocompletion ,I want to switch to laravel 5 but have some trouble with ide - autocompletion. I'm using phpstorm.In google the answers always end up with suggesting to use  . But it seems like it is broken for Laravel 5. The steps I am doing are:  Install Laravel 5 Require ide-helper Added 'Barryvdh\LaravelIdeHelper\IdeHelperServiceProvider' Trying to generate the helper file But it always breaks with following error: Maybe someone had the same issue and can help me.I'm open for different solutions for autocompletion other than barryvdh's ide-helper.I had the same problem and this fixed it: Before you run .
67,Is there an online PHP IDE? ,"Is there an IDE for PHP where you can edit the code for your pages online? Real syntax highlighting is minimal. More would be great. I'd like to be able to do development on my site at times other than when I'm at home. even thera are some limits (no Internet nonnections no file manipulations) I have been trying for ages to find a really good online php editor with which a/to learn php and b/convert some old Delphi (!) source files into the 21st century.  After a couple of very disappointing experiences and irritating false starts most notably with phpanywhere (god did I have high hopes on first discovering that one:( ) I eventually stumbled upon ShiftEdit in Chrome webstore. So far I've been able to everything I need and as well as providing a simple but powerful enough set of tools; reliability and a general good approach to user interaction has meant that after a couple of weeks I eventually subscribed although free was good enough for my initial purposes and evaluation.  Take from that what you will but I wholeheartedly recommend it and also love their very quick iterative release process.  I don't know what your websites audience is but generally I think it's a bad idea to edit a live website. Much too easy to accidentally break something or worse  your passwords or other secrets by accident. I run my server from home so this will not be available to everyone but this is basically what I dp: If you have access to Google Chrome editor I think you should try ShiftEdit or SourceKit Apps from the web store. This one is specialized on PHP: click File Manager then select a file and click Code Editor. : I tried using it and it can highlight PHP and HTML (at the same time) and it also has a ""code completion"" feature... I'm not sure if that's what it's called but when you write an opening bracket or quote it writes the closing one after the cursor. The only problems are that the highlighting isn't perfect (it treats escaped quotes as actual quotes) and more importantly it's not free. Etherpad is cool to code collectively but it has no syntax highlighting and is not realy an IDE just a collaborative pad for programmers with versioning and chat features.Still pretty cool but not what youre looking for. We are making exactly this happen at very simple and useful php editor - to edit your scripts on FTP server  The new platform by the ""phpanywhere"" Team. I found it to be working very well. Interesting about it making it special is the Android and Iphone app which actually enables you to really code on the go. Thats an interesting idea.  One could use something like this:  to the syntax highlighting then it's just a matter of code completion for things like functions. That much is relatively simple it gets harder when you get into things like per file (or even included file) variables (for the code completion). And now that you have me thinking... It's to bad that I don't know javascript better.If anyone wants to get together and maybe build this idea into a viable project I'm definitely game. There is also  it allows C# VB Java PHP Ruby C++.  Full disclosure I'm one of the founders."
